"Total debt service (% of exports of goods, services and primary income)",Short-term debt (% of total external debt),Real interest rate (%),Total reserves minus gold (in %),Trade (% of GDP),Imports of goods and services (current US$),Exports of goods and services (current US$),Current account balance (% of GDP),"Portfolio investment, net (BoP, current US$)","Foreign direct investment, net inflows (% of GDP)",Real GDP (current US$),GDP growth (annual %),"Inflation, consumer prices (annual %)",Broad money growth (annual %),Broad money to total reserves ratio,REER 5 Year rolling,General government final consumption expenditure (% of GDP),Gross fixed capital formation (current US$),"Unemployment, total (% of total labor force) (national estimate)",Domestic credit to private sector (% of GDP),Lending interest rate (%),Deposit interest rate (%),Contagion,Soft peg,Peg,Real GDP growth (Annual percent change),Left Government (democ),Polity (polity),Durable (durable),Turnover (xconst),Legislative/Executive election (exrec),State fragility index (sfi),Years (poleff),Economic Effectiveness (ecoeff),Presist (presistance),Target
0,0,0.511704643,1,0.380782594,0.002562635,0.003350459,0.453848764,0.206589346,0.038335714,0.036627548,0.714046896,0.090271888,0.149380878,0.111780958,0.545662915,0.035806591,0.000231357,0.361044611,0.546186091,0.100518126,0.001030793,0,0,1,0.685534842,1,1,0.775862069,1,1,0.166666667,0,0,1,0
0,0,0.512088458,0.848366907,0.371018009,0.003331127,0.003960996,0.461811306,0.206589346,0.038639931,0.036995968,0.635397128,0.091196707,0.149482924,0.111899152,0.54784935,0.004943209,0.000779175,0.350075808,0.545741095,0.100348479,0.001024764,0,0,1,0.680920674,1,1,0.784482759,1,1,0.166666667,0,0,1,0
0,0,0.511336986,0.664416784,0.33893112,0.004087459,0.005053589,0.469933076,0.206589346,0.048813516,0.037574395,0.771796792,0.091350785,0.14966184,0.111975068,0.547519191,0.008116832,0.00120253,0.338332821,0.545590342,0.100207735,0.001418135,0,0,1,0.690216169,1,1,0.793103448,1,1,0.166666667,0,0,1,0
0,0,0.509767171,0.472346311,0.347603424,0.00680295,0.007775751,0.476156401,0.206589346,0.073088206,0.038506923,0.840342764,0.088578125,0.149760714,0.111813456,0.545435718,0,0.002059021,0.338222632,0.545994473,0.100131633,0.002490094,0,0,1,0.667281886,1,1,0.801724138,1,1,0.166666667,0,0,1,0
0,0,0.508391062,0.404583963,0.356862145,0.008622046,0.009475638,0.483779626,0.206589346,0.043774008,0.039283578,0.43493309,0.085951602,0.149883099,0.11153933,0.542457554,0.04878836,0.002691769,0.33505535,0.546809491,0.10021555,0.003624153,0,0,1,0.681354069,1,1,0.810344828,1,1,0.166666667,0,0,1,0
0,0,0.508230167,0.379547407,0.339809783,0.008805525,0.009804057,0.488983324,0.206589346,0.0794314,0.039998699,0.355889704,0.084812681,0.149916608,0.111175962,0.539635019,0.061822164,0.002730511,1,0.547632851,0.10028947,0.004416977,0,0,0,0.702137744,1,1,0.818965517,1,1,0.166666667,0,0,1,0
0,0,0.508468847,0.295489371,0.356224651,0.011980315,0.013988331,0.497973695,0.206589346,0.049637735,0.041117028,1,0.085025647,0.149913463,0.110720934,0.538025149,0.019579182,0.003622518,0.53837638,0.548399742,0.100434977,0.004986803,0,0,0,0.704718135,1,1,0.827586207,1,1,0.166666667,0,0,1,0
0,0,0.509174178,0.240808569,0.337424783,0.014624601,0.016105428,0.501791892,0.206589346,0.045573273,0.043027614,0.817581988,0.08652212,0.14951128,0.110166319,0.538292417,0.029902411,0.005648422,0.460885627,0.549080923,0.100387018,0.005178512,0,0,0,0.686090206,1,1,0.836206897,1,1,0.166666667,0,0,1,0
0,0,0.511895658,0.205768586,0.360800372,0.019286591,0.019534553,0.502460611,0.206589346,0.060115878,0.043969581,0.675178981,0.088041525,0.148803122,0.10952935,0.540903043,0.039092999,0.007450159,0.160885612,0.553003285,0.10244276,0.005189933,0,0,0,0.673978218,1,1,0.844827586,1,1,0.166666667,0,0,1,0
0,0,0.517592456,0.167193759,0.379136952,0.025312443,0.025558049,0.501085731,0.206589346,0.064662189,0.044902535,0.810637241,0.089858723,0.14805775,0.112213252,0.546082977,0.02432914,0.01078217,0.216236152,0.5493456,0.103548,0.005079978,0,0,0,0.669236417,1,1,0.853448276,1,1,0.166666667,0,0,1,0
